Date,AAPL,AMZN,MSFT,NVDA,SP500,TSLA
2020-09-08,112.82,157.492,202.66,11.913,3331.8,110.07
2020-09-09,117.32,163.4305,211.29,12.715,3399.0,122.0933
2020-09-10,113.49,158.7555,205.37,12.3118,3339.2,123.78
2020-09-11,112.0,155.811,204.03,12.1645,3341.0,124.24
2020-09-14,115.355,155.1485,205.41,12.8723,3383.5,139.8733
2020-09-15,115.54,157.8065,208.78,12.991,3401.2,149.92
2020-09-16,112.13,153.905,205.05,12.5145,3385.5,147.2533
2020-09-17,110.34,150.4365,202.91,12.4635,3357.0,141.1433
2020-09-18,106.84,147.7455,200.39,12.1893,3319.5,147.3833
2020-09-21,110.08,148.0235,202.54,12.5173,3281.1,149.7967
2020-09-22,111.81,156.4495,207.42,12.6378,3315.6,141.41
2020-09-23,107.12,149.993,200.59,12.1238,3236.9,126.7867
2020-09-24,108.22,150.9895,203.19,12.348,3246.6,129.2633
2020-09-25,112.28,154.7565,207.82,12.8738,3298.5,135.78
2020-09-28,114.96,158.7025,209.44,13.035,3351.6,140.4
2020-09-29,114.09,157.244,207.26,13.2258,3335.5,139.69
2020-09-30,115.81,157.4365,210.33,13.5305,3363.0,143.0033
2020-10-01,116.79,161.063,212.46,13.6145,3380.8,149.3867
2020-10-02,113.02,156.25,206.19,13.0623,3348.4,138.3633
2020-10-05,116.5,159.96,210.38,13.6425,3408.6,141.8933
2020-10-06,113.16,154.998,205.91,13.7365,3360.9,137.9933
2020-10-07,115.08,159.7845,209.83,13.964,3419.4,141.7667
2020-10-08,114.97,159.5275,210.58,13.8387,3446.8,141.9733
2020-10-09,116.97,164.3325,215.81,13.7628,3477.1,144.6667
2020-10-12,124.4,172.1465,221.4,14.226,3534.2,147.4333
2020-10-13,121.1,172.1815,222.86,14.2482,3511.9,148.8833
2020-10-14,121.19,168.1855,220.86,14.0953,3488.7,153.7667
2020-10-15,120.71,166.9325,219.66,13.97,3483.3,149.6267
2020-10-16,119.02,163.6355,219.66,13.8115,3483.8,146.5567
2020-10-19,115.98,160.3605,214.22,13.4978,3426.9,143.61
2020-10-20,117.51,160.8505,214.65,13.6455,3443.1,140.6467
2020-10-21,116.87,159.247,214.8,13.5248,3435.6,140.88
2020-10-22,115.75,158.82,214.89,13.361,3453.5,141.93
2020-10-23,115.04,160.22,216.23,13.5903,3465.4,140.21
2020-10-26,115.05,160.352,210.08,13.1412,3401.0,140.0933
2020-10-27,116.6,164.3165,213.25,13.3968,3390.7,141.56
2020-10-28,111.2,158.139,202.68,12.627,3271.0,135.34
2020-10-29,115.32,160.5505,204.72,13.024,3310.1,136.9433
2020-10-30,108.86,151.8075,202.47,12.534,3270.0,129.3467
2020-11-02,108.77,150.224,202.33,12.5808,3310.2,133.5033
2020-11-03,110.44,152.4205,206.43,13.0195,3369.2,141.3
2020-11-04,114.95,162.058,216.39,13.7943,3443.4,140.3267
2020-11-05,119.03,166.1,223.29,14.16,3510.4,146.03
2020-11-06,118.69,165.5685,223.72,14.562,3509.4,143.3167
2020-11-09,116.32,157.187,218.39,13.6308,3550.5,140.42
2020-11-10,115.97,151.751,211.01,12.77,3545.5,136.7867
2020-11-11,119.49,156.8695,216.55,13.418,3572.7,139.0433
2020-11-12,119.21,155.514,215.44,13.4568,3537.0,137.2533
2020-11-13,119.26,156.4405,216.51,13.297,3585.2,136.1667
2020-11-16,120.3,156.553,217.23,13.5153,3626.9,136.03
2020-11-17,119.39,156.783,214.46,13.4223,3609.5,147.2033
2020-11-18,118.03,155.273,211.08,13.4288,3567.8,162.2133
